Date,Time,Temperature_C,Dew_Point_C,Humidity_%,Wind,Speed_kmh,Gust_kmh,Pressure_hPa,Precip_Rate_mm,Precip_Accum_mm,UV,Solar_w/m2
2020/07/01,12:04 AM,13.33,9.33,77.0,South,4.18,8.04,1013.88,0.0,0.0,0.0,0.0
2020/07/01,12:09 AM,13.28,9.28,76.0,SSE,2.41,5.79,1013.88,0.0,0.0,0.0,0.0
2020/07/01,12:14 AM,13.28,9.28,76.0,SSW,2.25,6.28,1013.55,0.0,0.0,0.0,0.0
2020/07/01,12:19 AM,13.28,9.22,76.0,South,2.41,6.11,1013.55,0.0,0.0,0.0,0.0
2020/07/01,12:24 AM,13.28,9.28,76.0,SSW,3.06,6.76,1013.55,0.0,0.0,0.0,0.0
2020/07/01,12:29 AM,13.28,9.22,76.0,South,4.18,8.69,1013.55,0.0,0.0,0.0,0.0
2020/07/01,12:34 AM,13.28,9.39,77.0,South,4.18,8.37,1013.55,0.0,0.0,0.0,0.0
2020/07/01,12:39 AM,13.22,9.28,77.0,SSE,4.51,8.85,1013.55,0.0,0.0,0.0,0.0
2020/07/01,12:44 AM,13.22,9.33,77.0,South,4.02,7.88,1013.55,0.0,0.0,0.0,0.0
2020/07/01,12:49 AM,13.22,9.44,78.0,SSW,1.93,4.83,1013.55,0.0,0.0,0.0,0.0
2020/07/01,12:54 AM,13.22,9.33,77.0,South,4.51,9.01,1013.55,0.0,0.0,0.0,0.0
2020/07/01,12:59 AM,13.11,9.33,78.0,South,3.22,6.44,1013.55,0.0,0.0,0.0,0.0
2020/07/01,01:04 AM,13.11,9.39,78.0,SSW,1.93,5.47,1013.55,0.0,0.0,0.0,0.0
2020/07/01,01:09 AM,13.11,9.39,78.0,South,3.86,7.88,1013.55,0.0,0.0,0.0,0.0
2020/07/01,01:14 AM,13.11,9.39,78.0,SSE,4.99,9.01,1013.55,0.0,0.0,0.0,0.0
2020/07/01,01:19 AM,13.11,9.44,78.0,SSW,1.77,4.51,1013.55,0.0,0.0,0.0,0.0
2020/07/01,01:24 AM,13.11,9.56,79.0,SW,2.41,5.79,1013.55,0.0,0.0,0.0,0.0
2020/07/01,01:29 AM,13.11,9.56,79.0,South,4.02,7.72,1013.55,0.0,0.0,0.0,0.0
2020/07/01,01:34 AM,13.11,9.5,79.0,SSE,4.18,8.04,1013.55,0.0,0.0,0.0,0.0
2020/07/01,01:39 AM,13.0,9.33,78.0,SSE,2.9,6.28,1013.55,0.0,0.0,0.0,0.0
2020/07/01,01:44 AM,13.0,9.44,79.0,South,3.38,7.72,1013.55,0.0,0.0,0.0,0.0
2020/07/01,01:49 AM,13.0,9.39,78.0,SSW,3.38,6.92,1013.55,0.0,0.0,0.0,0.0
2020/07/01,01:54 AM,13.0,9.39,79.0,SSW,1.77,4.67,1013.55,0.0,0.0,0.0,0.0
2020/07/01,01:59 AM,13.0,9.33,78.0,SSE,4.67,8.21,1013.55,0.0,0.0,0.0,0.0
2020/07/01,02:04 AM,13.0,9.5,79.0,South,4.34,8.53,1013.55,0.0,0.0,0.0,0.0
2020/07/01,02:09 AM,13.0,9.5,79.0,SSE,3.7,8.04,1013.55,0.0,0.0,0.0,0.0
2020/07/01,02:14 AM,13.0,9.5,79.0,South,4.18,8.85,1013.55,0.0,0.0,0.0,0.0
2020/07/01,02:19 AM,13.0,9.56,80.0,SSE,2.74,6.6,1013.55,0.0,0.0,0.0,0.0
2020/07/01,02:24 AM,12.89,9.5,80.0,ESE,1.77,5.31,1013.55,0.0,0.0,0.0,0.0
2020/07/01,02:29 AM,12.89,9.5,80.0,SSE,2.25,5.15,1013.55,0.0,0.0,0.0,0.0
2020/07/01,02:34 AM,12.89,9.5,80.0,SSE,2.9,6.11,1013.55,0.0,0.0,0.0,0.0
2020/07/01,02:39 AM,12.83,9.56,80.0,SE,0.97,3.38,1013.55,0.0,0.0,0.0,0.0
2020/07/01,02:44 AM,12.78,9.56,81.0,SE,0.8,2.74,1013.55,0.0,0.0,0.0,0.0
2020/07/01,02:49 AM,12.78,9.5,80.0,South,2.57,6.28,1013.55,0.0,0.0,0.0,0.0
2020/07/01,02:54 AM,12.78,9.5,80.0,SE,1.77,3.86,1013.55,0.0,0.0,0.0,0.0
2020/07/01,02:59 AM,12.78,9.5,80.0,SSE,2.74,6.28,1013.55,0.0,0.0,0.0,0.0
2020/07/01,03:04 AM,12.78,9.56,81.0,SSE,3.54,6.92,1013.55,0.0,0.0,0.0,0.0
2020/07/01,03:09 AM,12.78,9.61,81.0,SE,3.38,6.44,1013.21,0.0,0.0,0.0,0.0
2020/07/01,03:14 AM,12.78,9.67,81.0,SE,2.57,5.95,1013.55,0.0,0.0,0.0,0.0
2020/07/01,03:19 AM,12.72,9.78,82.0,South,3.7,7.56,1013.21,0.0,0.0,0.0,0.0
2020/07/01,03:24 AM,12.67,10.17,84.0,SE,2.25,5.47,1013.21,0.0,0.0,0.0,0.0
2020/07/01,03:29 AM,12.56,10.22,86.0,SSW,3.22,7.24,1013.55,0.0,0.0,0.0,0.0
2020/07/01,03:34 AM,12.44,10.22,86.0,SE,1.13,3.7,1013.55,0.0,0.0,0.0,0.0
2020/07/01,03:39 AM,12.33,10.17,87.0,SE,3.06,5.63,1013.21,1.78,0.25,0.0,0.0
2020/07/01,03:44 AM,12.28,10.06,87.0,SE,2.25,5.95,1013.21,1.78,0.25,0.0,0.0
2020/07/01,03:49 AM,12.17,10.06,87.0,South,2.25,5.47,1013.21,1.78,0.25,0.0,0.0
2020/07/01,03:54 AM,12.06,10.0,87.0,SE,4.02,8.21,1013.21,0.0,0.25,0.0,0.0
2020/07/01,03:59 AM,12.0,10.06,88.0,South,1.29,4.02,1013.21,0.0,0.25,0.0,0.0
2020/07/01,04:04 AM,12.0,9.89,87.0,SSW,3.38,7.08,1013.21,0.0,0.25,0.0,0.0
2020/07/01,04:09 AM,11.89,9.78,87.0,SSW,4.18,7.56,1013.21,0.0,0.25,0.0,0.0
2020/07/01,04:14 AM,11.89,9.78,87.0,South,2.57,6.6,1013.21,0.0,0.25,0.0,0.0
2020/07/01,04:19 AM,11.89,9.78,87.0,SSE,3.22,6.76,1013.21,0.0,0.25,0.0,0.0
2020/07/01,04:24 AM,11.89,9.78,87.0,SSE,1.93,5.15,1012.87,0.0,0.25,0.0,0.0
2020/07/01,04:29 AM,11.94,9.83,87.0,SSW,3.06,5.79,1012.87,0.0,0.25,0.0,0.0
2020/07/01,04:34 AM,12.0,9.89,87.0,South,2.9,5.95,1012.87,0.0,0.25,0.0,0.0
2020/07/01,04:39 AM,12.0,9.89,87.0,SSW,3.06,6.76,1012.87,0.0,0.25,0.0,0.0
2020/07/01,04:44 AM,12.0,9.78,86.0,SE,2.25,6.28,1013.21,0.0,0.25,0.0,0.0
2020/07/01,04:49 AM,12.06,9.89,87.0,SSE,3.06,7.24,1012.87,0.0,0.25,0.0,0.0
2020/07/01,04:54 AM,12.11,9.78,86.0,South,3.38,7.4,1012.87,0.0,0.25,0.0,0.0
2020/07/01,04:59 AM,12.11,9.78,86.0,SSE,4.02,7.4,1012.87,1.78,0.51,0.0,0.0
2020/07/01,05:04 AM,12.11,9.78,86.0,SE,3.38,7.08,1012.87,1.78,0.51,0.0,0.0
2020/07/01,05:09 AM,12.11,9.78,86.0,SSE,4.18,8.69,1013.21,1.78,0.51,0.0,0.0
2020/07/01,05:14 AM,12.11,9.83,86.0,SW,3.38,7.24,1012.87,0.0,0.51,0.0,0.0
2020/07/01,05:19 AM,12.11,10.0,87.0,South,1.77,4.67,1012.87,0.0,0.51,0.0,0.0
2020/07/01,05:24 AM,12.11,9.94,87.0,South,3.86,6.92,1012.87,0.0,0.51,0.0,0.0
2020/07/01,05:29 AM,12.11,9.83,86.0,SSW,2.41,5.79,1012.87,0.0,0.51,0.0,0.0
